name,image_src,url,table_check
ศ. นพ.กฤตย์วิกรม ดุรงค์พิศิษฏ์กุล,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587624014_%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%A4%E0%B8%95%E0%B8%A2%E0%B9%8C%E0%B8%A7%E0%B8%B4%E0%B8%81%E0%B8%A3%E0%B8%A1_%E0%B8%94%E0%B8%B8%E0%B8%A3%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B8%9E%E0%B8%B4%E0%B8%A8%E0%B8%B4%E0%B8%A9%E0%B8%8F%E0%B9%8C%E0%B8%81%E0%B8%B8%E0%B8%A5.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1,"จันทร์ 13:00 - 13:40 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 08:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 08:00 - 11:50 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 08:30 - 12:20 น. สัปดาห์ที่ 1,2,3"
ผศ. พญ.กฤติกา ธีระพันธ์เจริญ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587710414_%E0%B8%AD.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%A4%E0%B8%95%E0%B8%B4%E0%B8%81%E0%B8%B2_%E0%B8%98%E0%B8%B5%E0%B8%A3%E0%B8%B0%E0%B8%9E%E0%B8%B1%E0%B8%99%E0%B8%98%E0%B9%8C%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=681,"ศุกร์ 16:00 - 19:30 น. สัปดาห์ที่ 1,2,3,4,5"
รศ. พญ.กฤติยา กอไพศาล,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587708027_%E0%B8%9C%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%A4%E0%B8%95%E0%B8%B4%E0%B8%A2%E0%B8%B2-%E0%B8%81%E0%B8%AD%E0%B9%84%E0%B8%9E%E0%B8%A8%E0%B8%B2%E0%B8%A5.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=705,"ศุกร์ 07:00 - 08:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 08:00 - 12:00 น. สัปดาห์ที่ 2"
รศ. นพ.กฤษฎี ประภาสะวัต,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587692973_%E0%B8%A3%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%A4%E0%B8%A9%E0%B8%8E%E0%B8%B5_%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%A0%E0%B8%B2%E0%B8%AA%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%95.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=96,"อังคาร 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5"
พญ.กวิตา อธิภาส,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1672908153_Retouch.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1230,"พฤหัสบดี 16:30 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 09:00 - 12:00 น. สัปดาห์ที่ 3 09:00 - 12:00 น. สัปดาห์ที่ 1,2,4 09:00 - 16:00 น. สัปดาห์ที่ 5"
ผศ. นพ.กวีวรรณ ลิ้มประยูร,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587629673_%E0%B8%9C%E0%B8%A8.%E0%B8%99%E0%B8%9E._%E0%B8%81%E0%B8%A7%E0%B8%B5%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93_%E0%B8%A5%E0%B8%B4%E0%B9%89%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%A2%E0%B8%B9%E0%B8%A3.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=3,"พฤหัสบดี 17:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5"
รศ. นพ.ก้องเขต เหรียญสุวรรณ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587704273_%E0%B8%A3%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B9%89%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%82%E0%B8%95_%E0%B9%80%E0%B8%AB%E0%B8%A3%E0%B8%B5%E0%B8%A2%E0%B8%8D%E0%B8%AA%E0%B8%B8%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=196,"พุธ 17:00 - 19:00 น. สัปดาห์ที่ 1,2,4 17:00 - 19:00 น. สัปดาห์ที่ 5 อาทิตย์ 09:00 - 12:00 น. สัปดาห์ที่ 2,4"
รศ. พญ.กอบกุล เมืองสมบูรณ์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587693007_%E0%B8%A3%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%AD%E0%B8%9A%E0%B8%81%E0%B8%B8%E0%B8%A5_%E0%B9%80%E0%B8%A1%E0%B8%B7%E0%B8%AD%E0%B8%87%E0%B8%AA%E0%B8%A1%E0%B8%9A%E0%B8%B9%E0%B8%A3%E0%B8%93%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=97,"ศุกร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5"
รศ. พญ.กอบหทัย สิทธิรณฤทธิ์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587631379_%E0%B8%9C%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%AD%E0%B8%9A%E0%B8%AB%E0%B8%97%E0%B8%B1%E0%B8%A2_%E0%B8%AA%E0%B8%B4%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B8%A3%E0%B8%93%E0%B8%A4%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=31,"พฤหัสบดี 13:30 - 17:00 น. สัปดาห์ที่ 2,4,5 ศุกร์ 13:30 - 17:00 น. สัปดาห์ที่ 1,3,5"
อ. พญ.กัณฑริดา ศรีพานิชกุลชัย,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1698918498_%E0%B8%81%E0%B8%B1%E0%B8%93%E0%B8%91%E0%B8%A3%E0%B8%B4%E0%B8%94%E0%B8%B2.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1218,"จันทร์ 16:00 - 19:00 น. สัปดาห์ที่ 1,2,3,4,5 อังคาร 16:00 - 19:00 น. สัปดาห์ที่ 2,3,4,5 16:00 - 19:00 น. สัปดาห์ที่ 1"
ผศ. พญ.กัณห์ชลิต ถนอมกิตติ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587710103_%E0%B8%AD.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%B1%E0%B8%93%E0%B8%AB%E0%B9%8C%E0%B8%8A%E0%B8%A5%E0%B8%B4%E0%B8%95_%E0%B8%96%E0%B8%99%E0%B8%AD%E0%B8%A1%E0%B8%81%E0%B8%B4%E0%B8%95%E0%B8%95%E0%B8%B4.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=686,"จันทร์ 09:30 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 13:00 - 15:30 น. สัปดาห์ที่ 2,4 13:00 - 15:30 น. สัปดาห์ที่ 3,5 เสาร์ 09:30 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5"
ผศ. พญ.กันต์กมล จัยสิน,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1664177039_%E0%B8%AB%E0%B8%A1%E0%B8%AD.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1216,"ศุกร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5"
นพ.กันตณัฏฐ์ อยู่ตรีรักษ์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1642500262_Kantanut.Y.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1195,"พุธ 17:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 17:00 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5"
รศ. พญ.กันยารัตน์ โตธนะรุ่งโรจน์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587698063_%E0%B8%9C%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A2%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B9%8C_%E0%B9%82%E0%B8%95%E0%B8%98%E0%B8%99%E0%B8%B0%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B9%82%E0%B8%A3%E0%B8%88%E0%B8%99%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=123,พุธ 08:30 - 12:00 น. สัปดาห์ที่ 4
นพ.กัมปนาท นิ่มพูนศรี,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587713853_%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%B1%E0%B8%A1%E0%B8%9B%E0%B8%99%E0%B8%B2%E0%B8%97_%E0%B8%99%E0%B8%B4%E0%B9%88%E0%B8%A1%E0%B8%9E%E0%B8%B9%E0%B8%99%E0%B8%A8%E0%B8%A3%E0%B8%B5.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=334,"พุธ 09:00 - 12:30 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 09:00 - 12:30 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 13:30 - 16:30 น. สัปดาห์ที่ 1,4"
อ. พญ.กานติมา กาญจนภูมิ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1601964480_Kantima.kan.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1171,"อังคาร 15:00 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5"
อ. พญ.กานติมา จงจิตอารี,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1676887774_%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%B2%E0%B8%99%E0%B8%95%E0%B8%B4%E0%B8%A1%E0%B8%B2_URO.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=882,
พญ.กิจติยา นรสิงห์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587719305_%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%B4%E0%B8%88%E0%B8%95%E0%B8%B4%E0%B8%A2%E0%B8%B2_%E0%B8%99%E0%B8%A3%E0%B8%AA%E0%B8%B4%E0%B8%87%E0%B8%AB%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=380,
ศ.ดร. นพ.กิตติพงศ์ มณีโชติสุวรรณ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587633511_%E0%B8%A8.%E0%B8%94%E0%B8%A3.%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%B4%E0%B8%95%E0%B8%95%E0%B8%B4%E0%B8%9E%E0%B8%87%E0%B8%A8%E0%B9%8C_%E0%B8%A1%E0%B8%93%E0%B8%B5%E0%B9%82%E0%B8%8A%E0%B8%95%E0%B8%B4%E0%B8%AA%E0%B8%B8%E0%B8%A7%E0%B8%A3%E0%B8%A3%E0%B8%93.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=56,"จันทร์ 16:30 - 18:15 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 17:30 - 19:15 น. สัปดาห์ที่ 1,2,3,4 17:30 - 23:59 น. สัปดาห์ที่ 5"
ผศ. นพ.กิตติพงษ์ พินธุโสภณ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587707076_%E0%B8%AD.%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%B4%E0%B8%95%E0%B8%95%E0%B8%B4%E0%B8%9E%E0%B8%87%E0%B8%A9%E0%B9%8C_%E0%B8%9E%E0%B8%B4%E0%B8%99%E0%B8%98%E0%B8%B8%E0%B9%82%E0%B8%AA%E0%B8%A0%E0%B8%93.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=241,"ศุกร์ 10:30 - 12:30 น. สัปดาห์ที่ 1,2,3,4,5"
ผศ. พญ.กิติกานต์ ธนะอุดม,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1599821726_Kitikan_Thana-udom.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1170,"พุธ 14:00 - 17:30 น. สัปดาห์ที่ 1,2,4,5 14:30 - 17:30 น. สัปดาห์ที่ 3 18:15 - 19:15 น. สัปดาห์ที่ 3"
ศ. นพ.กีรติ เจริญชลวานิช,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587704309_%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%B5%E0%B8%A3%E0%B8%95%E0%B8%B4_%E0%B9%80%E0%B8%88%E0%B8%A3%E0%B8%B4%E0%B8%8D%E0%B8%8A%E0%B8%A5%E0%B8%A7%E0%B8%B2%E0%B8%99%E0%B8%B4%E0%B8%8A.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=197,"จันทร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,5 12:00 - 12:30 น. สัปดาห์ที่ 4 พุธ 16:30 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5"
ศ. พญ.กุลกัญญา โชคไพบูลย์กิจ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587629721_%E0%B8%9E%E0%B8%8D.%E0%B8%81%E0%B8%B8%E0%B8%A5%E0%B8%81%E0%B8%B1%E0%B8%8D%E0%B8%8D%E0%B8%B2_%E0%B9%82%E0%B8%8A%E0%B8%84%E0%B9%84%E0%B8%9E%E0%B8%9A%E0%B8%B9%E0%B8%A5%E0%B8%A2%E0%B9%8C%E0%B8%81%E0%B8%B4%E0%B8%88.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=4,"พุธ 13:30 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5"
พญ.กุลชญา สุธีเชษฐ,https://www.siphhospital.com/assets/img/no_profile.png,https://www.siphhospital.com/th/medical-services/doctor-biography?id=899,
รศ. นพ.กุลธร เทพมงคล,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587692603_%E0%B8%9C%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%81%E0%B8%B8%E0%B8%A5%E0%B8%98%E0%B8%A3_%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%87%E0%B8%84%E0%B8%A5.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=88,"ศุกร์ 11:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5"
รศ. พญ.กุลนุช ชาญชัยรุจิรา,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587698208_%E0%B8%A3%E0%B8%A8.%E0%B8%9E%E0%B8%8D._%E0%B8%81%E0%B8%B8%E0%B8%A5%E0%B8%99%E0%B8%B8%E0%B8%8A_%E0%B8%8A%E0%B8%B2%E0%B8%8D%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%A3%E0%B8%B8%E0%B8%88%E0%B8%B4%E0%B8%A3%E0%B8%B2.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=124,"อังคาร 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5"
